edad,frecuenciaCompra,montoPromedio,diasUltimaCompra,satisfaccion,totalHistorico,cantidadProductos,usaTarjeta,recompra
59,15,55756,92,1.8,836340,8,0,0
53,16,174949,1,1.0,2799184,1,0,1
51,6,234358,89,2.3,1406148,15,0,0
38,11,217242,163,4.3,2389662,5,1,1
40,1,162148,16,1.7,162148,1,0,0
42,3,235452,122,2.5,706356,1,0,0
34,10,169553,55,3.2,1695530,15,1,1
43,12,251544,47,3.7,3018528,11,1,1
54,19,66201,8,4.1,1257819,10,0,1
34,10,467518,159,1.3,4675180,4,1,1
29,4,78876,147,1.8,315504,5,1,0
26,5,464144,43,3.2,2320720,7,0,0
38,2,283810,42,3.1,567620,15,0,0
47,1,108402,118,2.2,108402,14,0,0
49,15,279201,79,3.0,4188015,10,1,1
40,14,406156,30,1.0,5686184,8,0,0
67,12,55058,177,4.6,660696,15,0,1
63,2,288776,56,4.5,577552,15,1,1
70,11,330350,173,1.5,3633850,14,1,1
31,1,117029,32,1.8,117029,15,0,0
60,1,300047,54,3.0,300047,2,0,0
32,15,323028,129,3.2,4845420,10,1,1
63,20,248910,139,3.9,4978200,1,1,1
60,6,243552,19,3.5,1461312,15,0,1
32,14,56124,51,1.5,785736,11,1,1
62,9,442265,114,3.6,3980385,10,0,0
46,2,193711,25,4.3,387422,7,0,1
53,4,463622,134,1.7,1854488,12,0,0
65,13,491721,36,3.6,6392373,14,0,0
43,17,468273,159,3.9,7960641,5,1,1
47,6,253784,128,2.9,1522704,13,0,0
37,11,372947,72,3.8,4102417,13,0,0
65,16,441852,179,2.7,7069632,4,1,1
55,7,450265,9,4.8,3151855,9,1,1
34,12,155223,93,3.4,1862676,1,0,0
32,20,99491,168,2.2,1989820,15,0,0
70,5,47254,128,2.5,236270,3,1,0
44,15,211427,180,4.8,3171405,14,1,1
20,5,422877,69,1.6,2114385,11,0,0
39,14,342189,126,2.1,4790646,1,1,1
43,19,86496,102,2.6,1643424,2,0,0
56,10,299698,22,1.0,2996980,9,0,1
18,17,419099,57,1.3,7124683,11,0,0
28,9,300407,109,4.7,2703663,3,1,1
48,6,197578,175,4.5,1185468,1,1,1
52,8,207899,64,3.6,1663192,15,1,1
50,20,164950,67,3.9,3299000,1,0,0
35,3,225332,137,3.4,675996,3,0,0
57,13,282199,45,3.1,3668587,1,1,1
25,2,216144,50,2.1,432288,10,1,0
47,11,82288,85,4.8,905168,13,0,1
54,3,310019,40,3.2,930057,1,1,0
32,3,187405,134,4.9,562215,11,1,1
25,16,213808,75,1.8,3420928,11,0,0
60,18,51211,65,4.6,921798,6,1,1
64,14,62326,159,2.1,872564,1,0,0
36,9,479303,12,4.0,4313727,2,0,1
54,12,297301,175,3.7,3567612,1,1,1
60,18,279488,32,4.5,5030784,12,1,1
32,1,95250,157,4.7,95250,1,1,0
65,13,245307,82,3.8,3188991,2,1,1
28,14,118669,162,2.5,1661366,11,1,1
54,2,9661,7,2.0,19322,2,0,0
52,7,446412,134,4.4,3124884,15,1,1
55,18,120612,2,2.6,2171016,11,0,1
54,6,29785,13,3.6,178710,4,0,0
58,1,40938,27,4.0,40938,2,0,0
51,12,382231,72,4.8,4586772,2,0,1
68,13,398296,45,2.9,5177848,4,0,0
19,8,199751,152,1.5,1598008,12,1,1
31,5,282201,127,2.6,1411005,15,1,0
51,7,140841,21,2.5,985887,9,1,1
36,17,43504,75,4.5,739568,14,1,1
42,8,20079,80,3.3,160632,6,0,0
51,2,322585,90,4.0,645170,14,1,1
69,5,11069,145,4.9,55345,15,1,0
54,4,232412,55,4.5,929648,11,0,0
47,14,137841,69,4.3,1929774,5,1,1
51,3,461588,31,2.9,1384764,9,0,0
53,5,206039,176,2.9,1030195,5,0,0
62,5,497620,34,2.1,2488100,10,1,0
53,3,160363,137,2.0,481089,6,0,0
18,12,351344,135,2.4,4216128,11,1,1
22,12,304188,49,3.5,3650256,9,1,1
47,10,104731,15,1.8,1047310,1,0,1
42,2,146931,39,1.2,293862,2,1,0
56,9,229829,96,4.4,2068461,15,0,1
44,1,240257,3,1.1,240257,9,1,0
43,20,493373,10,2.2,9867460,12,0,1
43,5,107510,71,3.6,537550,1,1,0
37,17,102723,29,3.9,1746291,3,0,1
41,14,315628,70,2.8,4418792,3,0,0
18,1,271996,14,2.6,271996,9,1,0
39,3,286143,100,2.8,858429,3,1,0
62,14,374203,144,3.6,5238842,14,0,0
47,3,121670,20,4.0,365010,7,0,1
34,14,151589,154,3.5,2122246,13,1,1
20,9,440356,96,4.2,3963204,5,1,1
37,5,284664,6,3.1,1423320,9,1,1
39,4,423180,170,4.9,1692720,15,0,0
40,5,37570,92,3.9,187850,6,0,0
53,17,20203,12,2.4,343451,7,1,1
22,12,152054,179,3.2,1824648,12,1,1
24,13,347085,63,4.9,4512105,12,1,1
50,14,284522,136,1.5,3983308,14,1,1
20,13,484792,104,2.4,6302296,10,0,0
43,19,340888,69,4.4,6476872,1,1,1
29,9,450278,86,1.0,4052502,5,1,1
61,19,263688,2,2.3,5010072,9,1,1
20,19,275524,80,2.4,5234956,1,1,1
